,elbo
1266,-1547394432.0
1267,-1545872768.0
1268,-1546601344.0
1269,-1545044736.0
1270,-1544854784.0
1271,-1544864896.0
1272,-1544166144.0
1273,-1543606912.0
1274,-1543141632.0
1275,-1543537792.0
1276,-1541928064.0
1277,-1541895424.0
1278,-1543337344.0
1279,-1541617536.0
1280,-1542329984.0
1281,-1539953664.0
1282,-1541437696.0
1283,-1540032256.0
1284,-1539316096.0
1285,-1539062912.0
1286,-1538071040.0
1287,-1538719232.0
1288,-1537124864.0
1289,-1537644800.0
1290,-1537874432.0
1291,-1538147456.0
1292,-1536631168.0
1293,-1536654336.0
1294,-1537271296.0
1295,-1534805632.0
1296,-1534290816.0
1297,-1533060864.0
1298,-1533412480.0
1299,-1532494336.0
1300,-1532925568.0
1301,-1532461696.0
1302,-1532823040.0
1303,-1530601984.0
1304,-1531189376.0
1305,-1529683200.0
1306,-1530258688.0
1307,-1529831040.0
1308,-1526677248.0
1309,-1528909824.0
1310,-1527523328.0
1311,-1527657728.0
1312,-1527600256.0
1313,-1525554048.0
1314,-1524009856.0
1315,-1524881792.0
1316,-1525145088.0
1317,-1523517952.0
1318,-1524140160.0
1319,-1521864832.0
1320,-1522785024.0
1321,-1522519040.0
1322,-1522733952.0
1323,-1522469888.0
1324,-1520394112.0
1325,-1520369664.0
1326,-1519116800.0
1327,-1518919040.0
1328,-1519128192.0
1329,-1519760000.0
1330,-1517456768.0
1331,-1516260736.0
1332,-1517516672.0
1333,-1515285888.0
1334,-1515058176.0
1335,-1513144704.0
1336,-1515312256.0
1337,-1515086464.0
1338,-1513112576.0
1339,-1511570688.0
1340,-1510976000.0
1341,-1511258112.0
1342,-1510539520.0
1343,-1509190144.0
1344,-1509598464.0
1345,-1507815168.0
1346,-1507873280.0
1347,-1505839744.0
1348,-1508352896.0
1349,-1507133056.0
1350,-1505848320.0
1351,-1504699008.0
1352,-1504298368.0
1353,-1503336576.0
1354,-1505406208.0
1355,-1502998784.0
1356,-1502629120.0
1357,-1501919616.0
1358,-1500062464.0
1359,-1500525696.0
1360,-1499080960.0
