,elbo
738,-1443953536.0
739,-1445741824.0
740,-1453021696.0
741,-1458243712.0
742,-1445130624.0
743,-1446302464.0
744,-1458665728.0
745,-1445321216.0
746,-1449336448.0
747,-1452476032.0
748,-1460865664.0
749,-1452276224.0
750,-1460230272.0
751,-1450649984.0
752,-1440948736.0
753,-1459883008.0
754,-1447313920.0
755,-1436010624.0
756,-1434272896.0
757,-1440933248.0
758,-1438420224.0
759,-1451143808.0
760,-1433410176.0
761,-1450369024.0
762,-1434996736.0
763,-1434588160.0
764,-1434390784.0
765,-1431610368.0
766,-1433032192.0
767,-1421970816.0
768,-1440847104.0
769,-1437063168.0
770,-1447213824.0
771,-1427208192.0
772,-1425552512.0
773,-1426156416.0
774,-1427045120.0
775,-1442093440.0
776,-1432030208.0
777,-1430541184.0
778,-1438443008.0
779,-1426708352.0
780,-1433492480.0
781,-1429734144.0
782,-1425572736.0
783,-1427349376.0
784,-1428905600.0
785,-1428884864.0
786,-1440696320.0
787,-1426353664.0
788,-1427315712.0
789,-1433400704.0
790,-1417938432.0
791,-1429316864.0
792,-1424489856.0
793,-1421825152.0
794,-1432359296.0
795,-1421467008.0
796,-1441886720.0
797,-1412051456.0
798,-1413328384.0
799,-1435448064.0
800,-1425980288.0
801,-1419066880.0
802,-1426152320.0
803,-1418880128.0
804,-1425811072.0
805,-1409537280.0
806,-1425431936.0
807,-1407573376.0
808,-1422221312.0
809,-1421406464.0
810,-1414750080.0
811,-1416404608.0
812,-1407666944.0
813,-1398556800.0
814,-1409094400.0
815,-1411894912.0
816,-1404019456.0
817,-1402851200.0
818,-1406737024.0
819,-1403393920.0
820,-1410751104.0
821,-1407987712.0
822,-1401520640.0
823,-1416258304.0
824,-1407151488.0
825,-1396629248.0
826,-1403829376.0
827,-1402036864.0
828,-1399949312.0
829,-1415974656.0
830,-1418222976.0
831,-1408136576.0
832,-1403513088.0
833,-1404364544.0
834,-1395368064.0
835,-1394472960.0
836,-1399324544.0
837,-1398729856.0
838,-1399126272.0
839,-1397655424.0
840,-1427976960.0
841,-1401446400.0
842,-1395517824.0
843,-1402375680.0
844,-1401505536.0
845,-1391993728.0
846,-1389901440.0
847,-1420965760.0
848,-1387693824.0
849,-1397238784.0
850,-1394388352.0
851,-1396532096.0
852,-1394039552.0
853,-1393128704.0
854,-1402278912.0
855,-1385537152.0
856,-1387273856.0
857,-1401519104.0
858,-1394912640.0
859,-1393359360.0
860,-1398088064.0
861,-1393269760.0
862,-1386153728.0
863,-1389025024.0
864,-1422803840.0
865,-1378971520.0
866,-1389774080.0
867,-1394217216.0
868,-1381964032.0
869,-1393054080.0
870,-1377081984.0
871,-1383610624.0
872,-1385007488.0
873,-1388355456.0
874,-1394697728.0
875,-1382974720.0
876,-1410058752.0
877,-1380686208.0
878,-1373597184.0
879,-1375400448.0
880,-1393513088.0
881,-1380276480.0
882,-1377992192.0
883,-1391061632.0
884,-1375341568.0
885,-1367518720.0
886,-1372349696.0
887,-1373223424.0
888,-1382389376.0
889,-1374437632.0
890,-1375711104.0
891,-1374282240.0
892,-1370423936.0
893,-1369102976.0
894,-1366737408.0
895,-1370628096.0
896,-1371576448.0
897,-1371067136.0
898,-1360468864.0
899,-1370510720.0
900,-1366520192.0
901,-1368976128.0
902,-1365504000.0
903,-1390167424.0
904,-1373697792.0
905,-1377041024.0
906,-1364761088.0
907,-1367737984.0
908,-1366267136.0
909,-1365240192.0
910,-1355977088.0
911,-1379261440.0
912,-1357217536.0
913,-1358216320.0
914,-1361079808.0
915,-1365690368.0
916,-1372223616.0
917,-1351409152.0
918,-1362591616.0
919,-1355838208.0
920,-1358498944.0
921,-1355315840.0
922,-1381224576.0
923,-1360542592.0
924,-1353752064.0
925,-1363071232.0
926,-1356862208.0
927,-1351867904.0
928,-1352898304.0
929,-1349390464.0
930,-1355595392.0
931,-1362696320.0
932,-1361723392.0
933,-1357325184.0
934,-1342009216.0
935,-1361168896.0
936,-1353938688.0
937,-1350713088.0
938,-1347802112.0
939,-1358768896.0
940,-1344623872.0
941,-1360118144.0
942,-1348827520.0
943,-1344344832.0
944,-1355859200.0
945,-1341879424.0
946,-1344054272.0
947,-1339187328.0
948,-1338750208.0
949,-1350422784.0
950,-1342788864.0
951,-1348765440.0
952,-1340732544.0
953,-1342639360.0
954,-1339274752.0
955,-1336943744.0
956,-1334885504.0
957,-1344570880.0
958,-1335062016.0
959,-1341496448.0
960,-1335138816.0
961,-1339074688.0
962,-1332316416.0
963,-1342111360.0
964,-1355604736.0
965,-1339263616.0
966,-1326534400.0
967,-1325989760.0
968,-1330821632.0
969,-1329185152.0
970,-1323678592.0
971,-1335047808.0
972,-1326896896.0
973,-1336123392.0
974,-1324576384.0
975,-1319610880.0
976,-1319413376.0
977,-1327637248.0
978,-1328295808.0
979,-1333094400.0
980,-1324747392.0
981,-1318388352.0
982,-1327391232.0
983,-1317204864.0
984,-1317233664.0
985,-1316621056.0
986,-1316503680.0
987,-1318270208.0
988,-1308424832.0
989,-1329936256.0
990,-1309159936.0
991,-1318962432.0
992,-1317928832.0
993,-1320543232.0
994,-1316804992.0
995,-1314528768.0
996,-1321741312.0
997,-1308913792.0
998,-1307587840.0
999,-1314575744.0
1000,-1303033088.0
1001,-1304598400.0
1002,-1315143424.0
1003,-1301161088.0
1004,-1309478912.0
1005,-1295209984.0
1006,-1298419072.0
1007,-1306009728.0
1008,-1292406272.0
1009,-1313480832.0
1010,-1301938560.0
1011,-1294958464.0
1012,-1300161024.0
1013,-1296927744.0
1014,-1300652928.0
1015,-1295650432.0
1016,-1292343424.0
1017,-1295683968.0
1018,-1301982848.0
1019,-1305528192.0
1020,-1291605632.0
1021,-1288973312.0
1022,-1290334976.0
1023,-1295891840.0
1024,-1291824512.0
1025,-1286849280.0
1026,-1287502080.0
1027,-1300622464.0
